Titre,Artiste,Mapper,Date de création,Date de ranked,État de la carte,Nominator,Genre,Langue,Playcount,Likes,Length,BPM,Circle Count,Slider Count,Circle Size,HP Drain,Accuracy,Approach Rate,Star Rating,Game Mode,Difficultés,URL
Dan Jo,Tarou,vytalibus,2008-07-06,2008-07-07,CLASSÉE,"Saturos, Sinistro",Novelty,Japonais,22 277,12,1:59,154,137,46,5,3,5,5,"2,51",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1958
Dan Jo,Tarou,vytalibus,2008-07-06,2008-07-07,CLASSÉE,"Saturos, Sinistro",Novelty,Japonais,22 277,12,2:03,154,259,38,6,6,8,8,"4,00",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1958
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/1959
We Can,Ted Poley & Tony Harnell,buraimaster1234,2008-07-07,2008-09-10,CLASSÉE,"Sinistro, Dakeyrus",Jeu vidéo,Anglais,57 488,77,3:06,234,102,70,3,3,3,3,"2,02",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1960
We Can,Ted Poley & Tony Harnell,buraimaster1234,2008-07-07,2008-09-10,CLASSÉE,"Sinistro, Dakeyrus",Jeu vidéo,Anglais,57 488,77,3:06,234,149,85,4,5,5,5,"2,62",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1960
We Can,Ted Poley & Tony Harnell,buraimaster1234,2008-07-07,2008-09-10,CLASSÉE,"Sinistro, Dakeyrus",Jeu vidéo,Anglais,57 488,77,3:06,234,244,91,5,6,6,6,"3,66",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1960
Crazy Motorcycle Chase,FF7 Original Soundtrack,James,2008-07-07,2008-08-14,CLASSÉE,"Echo, machol30",Jeu vidéo,Instrumentale,509 633,192,1:58,"188,43",109,23,3,2,3,3,"2,29",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1961
Crazy Motorcycle Chase,FF7 Original Soundtrack,James,2008-07-07,2008-08-14,CLASSÉE,"Echo, machol30",Jeu vidéo,Instrumentale,509 633,192,2:02,"188,43",156,55,4,4,4,4,"3,36",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1961
Crazy Motorcycle Chase,FF7 Original Soundtrack,James,2008-07-07,2008-08-14,CLASSÉE,"Echo, machol30",Jeu vidéo,Instrumentale,509 633,192,3:24,"188,43",419,119,5,8,6,6,"4,76",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1961
Party Down,Reel Big Fish,huskyhawkcougar,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,4:06,155,72,32,5,5,5,5,"2,10",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1962
Party Down,Reel Big Fish,huskyhawkcougar,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,4:06,155,107,34,5,5,5,5,"2,18",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1962
Party Down,Reel Big Fish,huskyhawkcougar,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,4:06,155,118,44,6,6,6,6,"2,44",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1962
Party hard,andrew W.K.,idunnoknowlol,2008-07-07,2008-07-12,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,3:13,"161,9",405,86,5,5,5,5,"3,72",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1963
Get High,F.I.R.,redfox19920501,2008-07-07,2008-07-21,CIMETIÈRE,,Tous,Non spécifiée,0,1,3:12,"132,04",101,18,4,7,5,5,"1,87",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1964
Get High,F.I.R.,redfox19920501,2008-07-07,2008-07-21,CIMETIÈRE,,Tous,Non spécifiée,0,1,3:29,"132,04",178,16,5,6,5,5,"2,30",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1964
